Time(s),F_x(N),F_y(N),F_z(N),T_x(Nm),T_y(Nm),T_z(Nm),P_x(m),P_y(m),P_z(m),O_x(rad),O_y(rad),O_z(rad),V_px(m/s),V_py(m/s),V_pz(m/s),V_ox(rad/s),V_oy(rad/s),V_oz(rad/s)
0.0,0.7020455703996,0.1266385103256012,2.411687434002,-0.0063813634239000125,0.003935545493100007,0.0012612696325999943,0.2315114289522171,0.05043632909655571,0.7115271687507629,1.4810402695147777,0.15142536134406864,-1.5168654583429695,0.0,0.0,0.0,0.0,0.0,0.0
0.008603572845458984,0.6894837971196001,0.09531859330560087,2.336227829922,-0.007270329403900011,0.005279841023100007,0.0007850378575999853,0.23150072991847992,0.05047297105193138,0.7115349769592285,1.480885181364298,0.15114189303357767,-1.5171708202797163,-0.0012435570581388904,0.004258923128082913,0.0009075541761347891,-0.01802601701240504,-0.03294774340646066,-0.03549245670744417
0.01651620864868164,0.6982334458596001,0.12061117222560122,2.3602793554619996,-0.00650383916390001,0.005542305178100005,0.0010958595925999795,0.23149174451828003,0.050506167113780975,0.7115351557731628,1.4807429240501608,0.15075125194587974,-1.5172483320684769,-0.0011355761118476558,0.004195322857659395,2.2598529589008077e-05,-0.01797849890667996,-0.04936927433698252,-0.009795950513609887
0.02525019645690918,0.7098077142996,0.1353080911056011,2.316353182961999,-0.006507906623900014,0.005179623328100007,0.0010502136525999965,0.23148421943187714,0.050537191331386566,0.7115290760993958,1.4807925868657632,0.15037212653188822,-1.5170131001928329,-0.0008615865476482952,0.0035521251330767343,-0.0006960936860208009,0.005686155819405452,-0.0434080539515265,0.026932929242517653
0.0332179069519043,0.7021078454796001,0.10321418380560123,2.346009465701999,-0.006573550908900007,0.005222218673100009,0.0010204985975999824,0.23146533966064453,0.050576698035001755,0.7115233540534973,1.4808222356408778,0.15001561956360696,-1.5169707312899752,-0.0023695352942936653,0.004958350788473623,-0.0007181543433376223,0.0037211160135901793,-0.044743966099823215,0.005317575592675736
0.04189896583557129,0.6977930720796,0.1145171108256008,2.340644912382,-0.006829235963900009,0.005289783703100007,0.0009401662625999931,0.23144899308681488,0.050618976354599,0.7115118503570557,1.4810684239865959,0.1497871498864351,-1.5171190490029676,-0.001883016121501744,0.0048701800280135125,-0.0013251489934360495,0.028359253060855655,-0.02631818079263468,-0.017085209878192294
0.04998660087585449,0.7219869406596001,0.1268164391256009,2.322838687722,-0.00607765974390001,0.004544647628100008,0.0007379231125999978,0.23142699897289276,0.05064878985285759,0.7115082144737244,1.4812034854114509,0.1495918104631944,-1.5171944452893273,-0.0027194740876127586,0.003686306084546902,-0.0004495607570308354,0.01669974277798853,-0.02415284842450914,-0.009322414523434583
0.058051109313964844,0.7057954198595999,0.12332013820560109,2.2807540783019995,-0.006163867298900005,0.005066864298100006,0.0003615700775999758,0.23139294981956482,0.05069105699658394,0.7115107178688049,1.481435508114368,0.14952834163486647,-1.516956115447025,-0.00422209903917221,0.005241130820399113,0.00031042128603104213,0.028770842599735513,-0.007870142218214237,0.02955292862935676
0.06676864624023438,0.6980154830795999,0.10535822584560116,2.3779743746219997,-0.006771952568900005,0.005214761663100007,0.0007695589125999792,0.2313764989376068,0.05073149502277374,0.711519181728363,1.4817129999336711,0.14959614161901683,-1.516138211812255,-0.0018871020676074829,0.004638698583305984,0.0009709003391313861,0.03183144753501952,0.007777424371561023,0.09382278981867996
0.0748906135559082,0.6701340401196,0.11165690536560104,2.3084264549219995,-0.006127712098900007,0.005194650333100006,0.0008757648125999976,0.23135900497436523,0.050710517913103104,0.7115290760993958,1.4820489761702367,0.1498264429256225,-1.5157268687837346,-0.0021539071214700875,-0.002582762138202313,0.001218223448599777,0.041366361560848844,0.028355359933699385,0.05064573797614331
