1527798150.72, 5.9, 0.786715160666
1527798209.75, 9.4, 2.11062655618
1527798282.85, 13.4, 3.72180253276
1527798359.97, 25.0, 5.32719149524
1527798419.57, 29.6, 6.63183136666
1527798506.48, 37.4, 8.24238350164
1527798605.93, 42.9, 9.79629092681
1527798729.64, 47.3, 11.9466444694
1527798836.77, 50.7, 13.8095888114
1527798927.65, 52.7, 15.6647646914
1527799019.39, 58.0, 17.4831205577
1527799115.1, 61.2, 19.3165395109
1527799228.89, 65.3, 21.4830305085
1527799343.99, 68.6, 23.6126695443
1527799435.74, 73.3, 25.4613528008
1527799534.69, 76.9, 27.2821076455
1527799600.61, 80.0, 28.5896475623
1527799728.18, 83.7, 31.0493736589
1527799856.88, 86.1, 33.4555317556
1527800037.9, 87.9, 36.6936447455
1527800216.67, 90.5, 39.9414022405
1527800427.72, 93.6, 43.7762257979
1527800692.28, 95.8, 48.387491531
1527800905.53, 97.9, 52.1822342625
