1527730963.0, 5.7, 0.794196123038
1527731028.76, 8.8, 2.11710621622
1527731105.4, 12.8, 3.45100995682
1527731162.95, 17.5, 4.78491445225
1527731222.98, 22.7, 6.101388876
1527731284.36, 27.3, 7.40341485916
1527731342.82, 33.8, 8.72179822373
1527731404.32, 36.8, 10.0602466116
1527731466.35, 43.2, 11.3602883184
1527731527.33, 46.3, 12.6680460335
1527731586.75, 51.5, 13.9841987908
1527731645.49, 53.0, 15.3088054052
1527733796.73, 6.9, 0.786950903334
1527733866.48, 10.7, 2.11088841349
1527733927.31, 17.3, 3.44350060476
1527733988.97, 20.8, 4.77880837035
1527734047.66, 23.9, 6.09672570199
1527734107.34, 29.6, 7.40003737803
1527734168.6, 35.5, 8.71654666762
1527734226.85, 38.7, 10.053812916
1527734285.61, 44.3, 11.3571910826
1527734342.56, 46.0, 12.6684045127
1527734405.09, 52.2, 13.9840779661
1527734466.34, 53.6, 15.3109292069
1527734526.21, 56.1, 16.6418295936
1527734583.81, 60.0, 17.9571112668
1527734642.81, 63.0, 19.2532373577
1527734706.32, 65.9, 20.5799311686
1527734766.11, 68.7, 21.895245415
1527734824.2, 72.2, 23.2071800096
1527734884.3, 74.2, 24.5146577162
1527734941.18, 75.6, 25.8251467993
1527735019.73, 78.4, 27.1267254944
1527735076.44, 80.0, 28.4361019067
1527735135.88, 81.6, 29.7424051021
1527735193.49, 85.7, 31.0677513634
1527735254.43, 87.6, 32.3767499973
1527735313.47, 90.1, 33.7031227422
1527735371.07, 93.4, 35.0059985515
1527735426.13, 95.3, 36.3327615538
1527735484.3, 96.4, 37.6615655725
1527735541.87, 97.7, 38.9623742102
1527735598.22, 101.8, 40.2676191752
1527735656.91, 103.4, 41.5735918516
1527735715.08, 106.4, 42.896009693
1527735772.5, 108.4, 44.2017872823
1527735834.18, 110.1, 45.5241241577
1527735891.73, 113.3, 46.831524798
1527735951.01, 113.9, 48.1425849146
1527736010.04, 118.9, 49.4421674047
1527736077.57, 120.0, 50.7612050767
1527736141.95, 121.9, 52.0748916261
